appid,name,release_date,is_free,type,genres,price_overview
333390,Tales of Aravorn: Seasons Of The Wolf,"15 Jan, 2015",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]","{'currency': 'KRW', 'initial': 2700000, 'final': 2700000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 27,000'}"
333420,Cossacks 3,"20 Sep, 2016",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'KRW', 'initial': 2100000, 'final': 2100000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 21,000'}"
333430,Sinking Island,"5 Dec, 2014",False,game,"[{'id': '25', 'description': 'Adventure'}]","{'currency': 'KRW', 'initial': 850000, 'final': 850000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 8,500'}"
332700,Mike was Сursed,"19 Apr, 2018",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 1250000, 'final': 1250000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 12,500'}"
332710,1Quest,"3 Dec, 2014",False,game,"[{'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]","{'currency': 'KRW', 'initial': 440000, 'final': 440000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 4,400'}"
332730,Barbarian Brawl,"12 Feb, 2015",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 550000, 'final': 550000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,500'}"
332760,Friendship Club,"24 Mar, 2015",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '70', 'description': 'Early Access'}]","{'currency': 'KRW', 'initial': 1250000, 'final': 1250000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 12,500'}"
332790,Darkness Assault,"6 Feb, 2015",False,game,"[{'id': '73', 'description': 'Violent'}, {'id': '74', 'description': 'Gore'}, {'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 230000, 'final': 64000, 'discount_percent': 72, 'initial_formatted': '₩ 2,300', 'final_formatted': '₩ 640'}"
332800,Five Nights at Freddy's 2,"10 Nov, 2014",False,game,"[{'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 850000, 'final': 850000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 8,500'}"
332810,Midnight Mysteries: Witches of Abraham - Collector's Edition,"24 Nov, 2014",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}]","{'currency': 'KRW', 'initial': 1500000, 'final': 1500000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 15,000'}"
332830,Prelogate,"10 Dec, 2014",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 440000, 'final': 440000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 4,400'}"
332880,DSY: Don't Shoot Yourself,"10 Apr, 2015",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'KRW', 'initial': 550000, 'final': 550000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,500'}"
332250,The Next Penelope,"29 May, 2015",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '9', 'description': 'Racing'}]","{'currency': 'KRW', 'initial': 1400000, 'final': 1400000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 14,000'}"
332260,Disney•Pixar Cars Mater-National Championship,"24 Feb, 2015",False,game,"[{'id': '9', 'description': 'Racing'}]","{'currency': 'KRW', 'initial': 2150000, 'final': 2150000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 21,500'}"
332270,Gunmetal Arcadia,"7 Feb, 2017",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 1050000, 'final': 1050000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 10,500'}"
