appid,name,release_date,is_free,type,genres,price_overview
2307160,Yukiiro Sign,"23 Mar, 2023",False,game,"[{'id': '25', 'description': 'Adventure'}]","{'currency': 'KRW', 'initial': 2150000, 'final': 2150000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 21,500'}"
2307180,King Clicker League,"26 Mar, 2023",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]","{'currency': 'KRW', 'initial': 340000, 'final': 340000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 3,400'}"
2307210,Teleport VR,"9 Mar, 2023",False,game,"[{'id': '53', 'description': 'Design & Illustration'}]","{'currency': 'KRW', 'initial': 670000, 'final': 670000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 6,700'}"
2307320,G-MODEアーカイブス+ 探偵・癸生川凌介事件譚 Vol.6「対交錯事件」,"8 Mar, 2023",False,game,"[{'id': '25', 'description': 'Adventure'}]","{'currency': 'KRW', 'initial': 560000, 'final': 560000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,600'}"
2307330,G-MODEアーカイブス+ 探偵・癸生川凌介事件譚 Vol.7「音成刑事の捜査メモ」,"8 Mar, 2023",False,game,"[{'id': '25', 'description': 'Adventure'}]","{'currency': 'KRW', 'initial': 560000, 'final': 560000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,600'}"
2307370,Hot Heat Reset: Chapter 1,"2 Mar, 2023",True,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '37', 'description': 'Free To Play'}]",
2307400,The Last King,Q3 2025,False,game,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}, {'id': '70', 'description': 'Early Access'}]",
2307410,G-MODEアーカイブス+ 探偵・癸生川凌介事件譚 Vol.8「仮面幻影殺人事件」,"8 Mar, 2023",False,game,"[{'id': '25', 'description': 'Adventure'}]","{'currency': 'KRW', 'initial': 1950000, 'final': 1950000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 19,500'}"
2307420,G-MODEアーカイブス+ 探偵・癸生川凌介事件譚 Vol.9「五月雨は鈍色の調べ」,"8 Mar, 2023",False,game,"[{'id': '25', 'description': 'Adventure'}]","{'currency': 'KRW', 'initial': 890000, 'final': 890000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 8,900'}"
2307430,GHOST: AC-130 CLOSE AIR SUPPORT,"23 Feb, 2023",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '70', 'description': 'Early Access'}]","{'currency': 'KRW', 'initial': 340000, 'final': 340000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 3,400'}"
2307450,Hentai Blackjack,"24 Feb, 2023",False,game,"[{'id': '4', 'description': 'Casual'}]","{'currency': 'KRW', 'initial': 340000, 'final': 340000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 3,400'}"
2307460,FaceValue Playtest,"2 Feb, 2023",False,game,,
2307490,太古试炼 Playtest,"21 Feb, 2023",False,game,,
2307500,Suvi The Blossoming Lust,"20 Mar, 2025",False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 670000, 'final': 670000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 6,700'}"
2306670,Better Me Tree: Daily Affirmations,"12 May, 2025",False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '28', 'description': 'Simulation'}]","{'currency': 'KRW', 'initial': 2150000, 'final': 1612000, 'discount_percent': 25, 'initial_formatted': '₩ 21,500', 'final_formatted': '₩ 16,120'}"
2306840,Fantasy Shop Tycoon,Coming soon,False,game,"[{'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '70', 'description': 'Early Access'}]",
2306860,Clarity: The Seven Demons of Vanguardia Playtest,"7 Feb, 2023",False,game,,
2306900,Abyss of Light,To be announced,False,game,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]",
2306930,RPG Maker - PiXel ScaLer,"15 Feb, 2023",True,game,"[{'id': '55', 'description': 'Photo Editing'}]",
2306960,Tower Survivor,October 2025,False,game,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]",
2306980,Replik Survivors,"22 Jan, 2024",False,game,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]","{'currency': 'KRW', 'initial': 560000, 'final': 560000, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '₩ 5,600'}"
